Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season
18,19,Wind,358,Saturday,December,Winter
2,3,Wind,358,Saturday,December,Winter
20,21,Wind,358,Saturday,December,Winter
15,16,Wind,358,Saturday,December,Winter
9,10,Wind,358,Saturday,December,Winter
8,9,Wind,358,Saturday,December,Winter
6,7,Wind,358,Saturday,December,Winter
21,22,Wind,358,Saturday,December,Winter
14,15,Wind,358,Saturday,December,Winter
4,5,Wind,358,Saturday,December,Winter
5,6,Wind,358,Saturday,December,Winter
1,2,Wind,358,Saturday,December,Winter
0,1,Wind,358,Saturday,December,Winter
23,0,Wind,358,Saturday,December,Winter
3,4,Wind,358,Saturday,December,Winter
19,20,Wind,358,Saturday,December,Winter
17,18,Wind,358,Saturday,December,Winter
13,14,Wind,358,Saturday,December,Winter
11,12,Wind,358,Saturday,December,Winter
7,8,Wind,358,Saturday,December,Winter
22,23,Wind,358,Saturday,December,Winter
2,3,Wind,359,Sunday,December,Winter
19,20,Wind,359,Sunday,December,Winter
15,16,Wind,359,Sunday,December,Winter
4,5,Wind,359,Sunday,December,Winter
1,2,Wind,359,Sunday,December,Winter
9,10,Wind,359,Sunday,December,Winter
10,11,Wind,359,Sunday,December,Winter
13,14,Wind,359,Sunday,December,Winter
14,15,Wind,359,Sunday,December,Winter
7,8,Wind,359,Sunday,December,Winter
6,7,Wind,359,Sunday,December,Winter
3,4,Wind,359,Sunday,December,Winter
8,9,Wind,359,Sunday,December,Winter
11,12,Wind,359,Sunday,December,Winter
18,19,Wind,359,Sunday,December,Winter
0,1,Wind,359,Sunday,December,Winter
16,17,Wind,359,Sunday,December,Winter
20,21,Wind,359,Sunday,December,Winter
5,6,Wind,359,Sunday,December,Winter
12,13,Wind,359,Sunday,December,Winter
23,0,Wind,359,Sunday,December,Winter
21,22,Wind,359,Sunday,December,Winter
22,23,Wind,359,Sunday,December,Winter
17,18,Wind,359,Sunday,December,Winter
10,11,Wind,360,Monday,December,Winter
17,18,Wind,360,Monday,December,Winter
9,10,Wind,360,Monday,December,Winter
6,7,Wind,360,Monday,December,Winter
2,3,Wind,360,Monday,December,Winter
20,21,Wind,360,Monday,December,Winter
18,19,Wind,360,Monday,December,Winter
4,5,Wind,360,Monday,December,Winter
23,0,Wind,360,Monday,December,Winter
22,23,Wind,360,Monday,December,Winter
19,20,Wind,360,Monday,December,Winter
16,17,Wind,360,Monday,December,Winter
14,15,Wind,360,Monday,December,Winter
8,9,Wind,360,Monday,December,Winter
5,6,Wind,360,Monday,December,Winter
11,12,Wind,360,Monday,December,Winter
15,16,Wind,360,Monday,December,Winter
13,14,Wind,360,Monday,December,Winter
21,22,Wind,360,Monday,December,Winter
3,4,Wind,360,Monday,December,Winter
7,8,Wind,360,Monday,December,Winter
1,2,Wind,360,Monday,December,Winter
0,1,Wind,360,Monday,December,Winter
12,13,Wind,360,Monday,December,Winter
15,16,Wind,361,Tuesday,December,Winter
0,1,Wind,361,Tuesday,December,Winter
11,12,Wind,361,Tuesday,December,Winter
13,14,Wind,361,Tuesday,December,Winter
23,0,Wind,361,Tuesday,December,Winter
2,3,Wind,361,Tuesday,December,Winter
10,11,Wind,361,Tuesday,December,Winter
16,17,Wind,361,Tuesday,December,Winter
3,4,Wind,361,Tuesday,December,Winter
19,20,Wind,361,Tuesday,December,Winter
22,23,Wind,361,Tuesday,December,Winter
9,10,Wind,361,Tuesday,December,Winter
6,7,Wind,361,Tuesday,December,Winter
