Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/7/2020,Tuesday,7,8,January,2921,Winter,Wind,7
1/7/2020,Tuesday,7,9,January,3033,Winter,Wind,8
1/7/2020,Tuesday,7,12,January,3800,Winter,Wind,11
1/7/2020,Tuesday,7,13,January,4139,Winter,Wind,12
1/7/2020,Tuesday,7,1,January,5535,Winter,Wind,0
1/7/2020,Tuesday,7,0,January,5550,Winter,Wind,23
1/7/2020,Tuesday,7,5,January,3598,Winter,Wind,4
1/7/2020,Tuesday,7,6,January,3312,Winter,Wind,5
1/7/2020,Tuesday,7,10,January,3181,Winter,Wind,9
1/7/2020,Tuesday,7,16,January,4202,Winter,Wind,15
1/7/2020,Tuesday,7,17,January,4210,Winter,Wind,16
1/7/2020,Tuesday,7,19,January,5005,Winter,Wind,18
1/7/2020,Tuesday,7,23,January,5436,Winter,Wind,22
1/8/2020,Wednesday,8,15,January,4408,Winter,Wind,14
1/8/2020,Wednesday,8,13,January,5049,Winter,Wind,12
1/8/2020,Wednesday,8,12,January,4827,Winter,Wind,11
1/8/2020,Wednesday,8,18,January,2774,Winter,Wind,17
1/8/2020,Wednesday,8,8,January,4945,Winter,Wind,7
1/8/2020,Wednesday,8,7,January,5199,Winter,Wind,6
1/8/2020,Wednesday,8,23,January,4953,Winter,Wind,22
1/8/2020,Wednesday,8,10,January,4670,Winter,Wind,9
1/8/2020,Wednesday,8,19,January,2785,Winter,Wind,18
1/8/2020,Wednesday,8,3,January,6008,Winter,Wind,2
1/8/2020,Wednesday,8,0,January,5675,Winter,Wind,23
1/8/2020,Wednesday,8,14,January,4927,Winter,Wind,13
1/8/2020,Wednesday,8,5,January,5673,Winter,Wind,4
1/8/2020,Wednesday,8,2,January,5852,Winter,Wind,1
1/8/2020,Wednesday,8,11,January,4833,Winter,Wind,10
1/8/2020,Wednesday,8,16,January,3764,Winter,Wind,15
1/8/2020,Wednesday,8,17,January,3069,Winter,Wind,16
1/8/2020,Wednesday,8,22,January,4286,Winter,Wind,21
1/8/2020,Wednesday,8,21,January,3570,Winter,Wind,20
1/8/2020,Wednesday,8,9,January,4661,Winter,Wind,8
1/8/2020,Wednesday,8,6,January,5366,Winter,Wind,5
1/8/2020,Wednesday,8,1,January,5674,Winter,Wind,0
1/8/2020,Wednesday,8,20,January,3110,Winter,Wind,19
1/8/2020,Wednesday,8,4,January,5919,Winter,Wind,3
1/9/2020,Thursday,9,16,January,10825,Winter,Wind,15
1/9/2020,Thursday,9,13,January,12336,Winter,Wind,12
1/9/2020,Thursday,9,10,January,10763,Winter,Wind,9
